prev1	prev2	prev3	prev4	prev5	prev6	prev7	prevy8	prev9	result
11	11	20	10	26	16	20	7	15	16
11	20	10	26	16	20	7	15	16	10
20	10	26	16	20	7	15	16	10	17
10	26	16	20	7	15	16	10	17	9
26	16	20	7	15	16	10	17	9	26
16	20	7	15	16	10	17	9	26	29
20	7	15	16	10	17	9	26	29	10
7	15	16	10	17	9	26	29	10	12
15	16	10	17	9	26	29	10	12	5
16	10	17	9	26	29	10	12	5	30
10	17	9	26	29	10	12	5	30	9
17	9	26	29	10	12	5	30	9	13
9	26	29	10	12	5	30	9	13	14
26	29	10	12	5	30	9	13	14	11
29	10	12	5	30	9	13	14	11	12
10	12	5	30	9	13	14	11	12	8
12	5	30	9	13	14	11	12	8	13
5	30	9	13	14	11	12	8	13	32
30	9	13	14	11	12	8	13	32	9
9	13	14	11	12	8	13	32	9	12
13	14	11	12	8	13	32	9	12	8
14	11	12	8	13	32	9	12	8	37
11	12	8	13	32	9	12	8	37	24
12	8	13	32	9	12	8	37	24	10
8	13	32	9	12	8	37	24	10	4
13	32	9	12	8	37	24	10	4	13
32	9	12	8	37	24	10	4	13	12
9	12	8	37	24	10	4	13	12	21
12	8	37	24	10	4	13	12	21	7
8	37	24	10	4	13	12	21	7	13
37	24	10	4	13	12	21	7	13	7
24	10	4	13	12	21	7	13	7	21
10	4	13	12	21	7	13	7	21	15
4	13	12	21	7	13	7	21	15	23
13	12	21	7	13	7	21	15	23	14
12	21	7	13	7	21	15	23	14	25
21	7	13	7	21	15	23	14	25	10
7	13	7	21	15	23	14	25	10	2
13	7	21	15	23	14	25	10	2	29
7	21	15	23	14	25	10	2	29	23
21	15	23	14	25	10	2	29	23	9
15	23	14	25	10	2	29	23	9	12
23	14	25	10	2	29	23	9	12	10
14	25	10	2	29	23	9	12	10	5
25	10	2	29	23	9	12	10	5	14
10	2	29	23	9	12	10	5	14	14
2	29	23	9	12	10	5	14	14	16
29	23	9	12	10	5	14	14	16	3
23	9	12	10	5	14	14	16	3	22
9	12	10	5	14	14	16	3	22	15
12	10	5	14	14	16	3	22	15	30
10	5	14	14	16	3	22	15	30	12
5	14	14	16	3	22	15	30	12	30
14	14	16	3	22	15	30	12	30	7
14	16	3	22	15	30	12	30	7	26
16	3	22	15	30	12	30	7	26	6
3	22	15	30	12	30	7	26	6	13
22	15	30	12	30	7	26	6	13	12
15	30	12	30	7	26	6	13	12	16
30	12	30	7	26	6	13	12	16	5
12	30	7	26	6	13	12	16	5	27
30	7	26	6	13	12	16	5	27	15
7	26	6	13	12	16	5	27	15	9
26	6	13	12	16	5	27	15	9	22
6	13	12	16	5	27	15	9	22	14
13	12	16	5	27	15	9	22	14	8
12	16	5	27	15	9	22	14	8	10
16	5	27	15	9	22	14	8	10	16
5	27	15	9	22	14	8	10	16	23
27	15	9	22	14	8	10	16	23	25
15	9	22	14	8	10	16	23	25	11
9	22	14	8	10	16	23	25	11	16
22	14	8	10	16	23	25	11	16	7
14	8	10	16	23	25	11	16	7	5
8	10	16	23	25	11	16	7	5	6
10	16	23	25	11	16	7	5	6	12
16	23	25	11	16	7	5	6	12	18
23	25	11	16	7	5	6	12	18	21
25	11	16	7	5	6	12	18	21	6
11	16	7	5	6	12	18	21	6	28
16	7	5	6	12	18	21	6	28	25
7	5	6	12	18	21	6	28	25	11
5	6	12	18	21	6	28	25	11	25
6	12	18	21	6	28	25	11	25	32
12	18	21	6	28	25	11	25	32	13
18	21	6	28	25	11	25	32	13	7
21	6	28	25	11	25	32	13	7	17
6	28	25	11	25	32	13	7	17	5
28	25	11	25	32	13	7	17	5	11
25	11	25	32	13	7	17	5	11	26
11	25	32	13	7	17	5	11	26	10
25	32	13	7	17	5	11	26	10	19
32	13	7	17	5	11	26	10	19	26
13	7	17	5	11	26	10	19	26	11
7	17	5	11	26	10	19	26	11	20
17	5	11	26	10	19	26	11	20	20
5	11	26	10	19	26	11	20	20	17
11	26	10	19	26	11	20	20	17	15
26	10	19	26	11	20	20	17	15	14
10	19	26	11	20	20	17	15	14	22
19	26	11	20	20	17	15	14	22	23
26	11	20	20	17	15	14	22	23	22
11	20	20	17	15	14	22	23	22	20
20	20	17	15	14	22	23	22	20	5
20	17	15	14	22	23	22	20	5	8
17	15	14	22	23	22	20	5	8	21
15	14	22	23	22	20	5	8	21	14
14	22	23	22	20	5	8	21	14	12
22	23	22	20	5	8	21	14	12	20
23	22	20	5	8	21	14	12	20	10
22	20	5	8	21	14	12	20	10	10
20	5	8	21	14	12	20	10	10	18
5	8	21	14	12	20	10	10	18	18
8	21	14	12	20	10	10	18	18	15
21	14	12	20	10	10	18	18	15	31
14	12	20	10	10	18	18	15	31	24
12	20	10	10	18	18	15	31	24	8
20	10	10	18	18	15	31	24	8	16
10	10	18	18	15	31	24	8	16	7
10	18	18	15	31	24	8	16	7	14
18	18	15	31	24	8	16	7	14	10
18	15	31	24	8	16	7	14	10	5
15	31	24	8	16	7	14	10	5	20
31	24	8	16	7	14	10	5	20	8
24	8	16	7	14	10	5	20	8	15
8	16	7	14	10	5	20	8	15	23
16	7	14	10	5	20	8	15	23	5
7	14	10	5	20	8	15	23	5	8
14	10	5	20	8	15	23	5	8	13
10	5	20	8	15	23	5	8	13	30
5	20	8	15	23	5	8	13	30	16
20	8	15	23	5	8	13	30	16	13
8	15	23	5	8	13	30	16	13	19
15	23	5	8	13	30	16	13	19	7
23	5	8	13	30	16	13	19	7	19
