prev1	prev2	prev3	prev4	prev5	prev6	prev7	prevy8	prev9	result
29	14	26	33	41	35	33	26	26	33
14	26	33	41	35	33	26	26	33	31
26	33	41	35	33	26	26	33	31	32
33	41	35	33	26	26	33	31	32	22
41	35	33	26	26	33	31	32	22	42
35	33	26	26	33	31	32	22	42	37
33	26	26	33	31	32	22	42	37	31
26	26	33	31	32	22	42	37	31	22
26	33	31	32	22	42	37	31	22	27
33	31	32	22	42	37	31	22	27	36
31	32	22	42	37	31	22	27	36	41
32	22	42	37	31	22	27	36	41	28
22	42	37	31	22	27	36	41	28	32
42	37	31	22	27	36	41	28	32	17
37	31	22	27	36	41	28	32	17	38
31	22	27	36	41	28	32	17	38	18
22	27	36	41	28	32	17	38	18	23
27	36	41	28	32	17	38	18	23	42
36	41	28	32	17	38	18	23	42	16
41	28	32	17	38	18	23	42	16	20
28	32	17	38	18	23	42	16	20	29
32	17	38	18	23	42	16	20	29	42
17	38	18	23	42	16	20	29	42	31
38	18	23	42	16	20	29	42	31	32
18	23	42	16	20	29	42	31	32	13
23	42	16	20	29	42	31	32	13	26
42	16	20	29	42	31	32	13	26	34
16	20	29	42	31	32	13	26	34	27
20	29	42	31	32	13	26	34	27	36
29	42	31	32	13	26	34	27	36	35
42	31	32	13	26	34	27	36	35	27
31	32	13	26	34	27	36	35	27	31
32	13	26	34	27	36	35	27	31	26
13	26	34	27	36	35	27	31	26	33
26	34	27	36	35	27	31	26	33	25
34	27	36	35	27	31	26	33	25	33
27	36	35	27	31	26	33	25	33	27
36	35	27	31	26	33	25	33	27	28
35	27	31	26	33	25	33	27	28	37
27	31	26	33	25	33	27	28	37	41
31	26	33	25	33	27	28	37	41	18
26	33	25	33	27	28	37	41	18	29
33	25	33	27	28	37	41	18	29	19
25	33	27	28	37	41	18	29	19	26
33	27	28	37	41	18	29	19	26	37
27	28	37	41	18	29	19	26	37	19
28	37	41	18	29	19	26	37	19	25
37	41	18	29	19	26	37	19	25	21
41	18	29	19	26	37	19	25	21	35
18	29	19	26	37	19	25	21	35	22
29	19	26	37	19	25	21	35	22	32
19	26	37	19	25	21	35	22	32	15
26	37	19	25	21	35	22	32	15	41
37	19	25	21	35	22	32	15	41	36
19	25	21	35	22	32	15	41	36	30
25	21	35	22	32	15	41	36	30	30
21	35	22	32	15	41	36	30	30	24
35	22	32	15	41	36	30	30	24	29
22	32	15	41	36	30	30	24	29	37
32	15	41	36	30	30	24	29	37	8
15	41	36	30	30	24	29	37	8	31
41	36	30	30	24	29	37	8	31	43
36	30	30	24	29	37	8	31	43	20
30	30	24	29	37	8	31	43	20	36
30	24	29	37	8	31	43	20	36	32
24	29	37	8	31	43	20	36	32	29
29	37	8	31	43	20	36	32	29	20
37	8	31	43	20	36	32	29	20	34
8	31	43	20	36	32	29	20	34	29
31	43	20	36	32	29	20	34	29	37
43	20	36	32	29	20	34	29	37	23
20	36	32	29	20	34	29	37	23	25
36	32	29	20	34	29	37	23	25	32
32	29	20	34	29	37	23	25	32	21
29	20	34	29	37	23	25	32	21	14
20	34	29	37	23	25	32	21	14	30
34	29	37	23	25	32	21	14	30	33
29	37	23	25	32	21	14	30	33	30
37	23	25	32	21	14	30	33	30	12
23	25	32	21	14	30	33	30	12	34
25	32	21	14	30	33	30	12	34	33
32	21	14	30	33	30	12	34	33	22
21	14	30	33	30	12	34	33	22	37
14	30	33	30	12	34	33	22	37	34
30	33	30	12	34	33	22	37	34	28
33	30	12	34	33	22	37	34	28	12
30	12	34	33	22	37	34	28	12	31
12	34	33	22	37	34	28	12	31	43
34	33	22	37	34	28	12	31	43	18
33	22	37	34	28	12	31	43	18	40
22	37	34	28	12	31	43	18	40	27
37	34	28	12	31	43	18	40	27	26
34	28	12	31	43	18	40	27	26	42
