prev1	prev2	prev3	prev4	prev5	prev6	prev7	prevy8	prev9	result
24	13	23	28	29	21	22	15	19	28
13	23	28	29	21	22	15	19	28	21
23	28	29	21	22	15	19	28	21	29
28	29	21	22	15	19	28	21	29	14
29	21	22	15	19	28	21	29	14	36
21	22	15	19	28	21	29	14	36	34
22	15	19	28	21	29	14	36	34	21
15	19	28	21	29	14	36	34	21	16
19	28	21	29	14	36	34	21	16	17
28	21	29	14	36	34	21	16	17	35
21	29	14	36	34	21	16	17	35	15
29	14	36	34	21	16	17	35	15	24
14	36	34	21	16	17	35	15	24	17
36	34	21	16	17	35	15	24	17	14
34	21	16	17	35	15	24	17	14	28
21	16	17	35	15	24	17	14	28	12
16	17	35	15	24	17	14	28	12	15
17	35	15	24	17	14	28	12	15	39
35	15	24	17	14	28	12	15	39	13
15	24	17	14	28	12	15	39	13	13
24	17	14	28	12	15	39	13	13	21
17	14	28	12	15	39	13	13	21	39
14	28	12	15	39	13	13	21	39	28
28	12	15	39	13	13	21	39	28	23
12	15	39	13	13	21	39	28	23	9
15	39	13	13	21	39	28	23	9	24
39	13	13	21	39	28	23	9	24	19
13	13	21	39	28	23	9	24	19	22
13	21	39	28	23	9	24	19	22	9
21	39	28	23	9	24	19	22	9	23
39	28	23	9	24	19	22	9	23	21
28	23	9	24	19	22	9	23	21	23
23	9	24	19	22	9	23	21	23	22
9	24	19	22	9	23	21	23	22	30
24	19	22	9	23	21	23	22	30	22
19	22	9	23	21	23	22	30	22	32
22	9	23	21	23	22	30	22	32	12
9	23	21	23	22	30	22	32	12	4
23	21	23	22	30	22	32	12	4	30
21	23	22	30	22	32	12	4	30	25
23	22	30	22	32	12	4	30	25	17
22	30	22	32	12	4	30	25	17	16
30	22	32	12	4	30	25	17	16	18
22	32	12	4	30	25	17	16	18	21
32	12	4	30	25	17	16	18	21	30
12	4	30	25	17	16	18	21	30	18
4	30	25	17	16	18	21	30	18	24
30	25	17	16	18	21	30	18	24	6
25	17	16	18	21	30	18	24	6	34
17	16	18	21	30	18	24	6	34	19
16	18	21	30	18	24	6	34	19	31
18	21	30	18	24	6	34	19	31	13
21	30	18	24	6	34	19	31	13	34
30	18	24	6	34	19	31	13	34	18
18	24	6	34	19	31	13	34	18	28
24	6	34	19	31	13	34	18	28	14
6	34	19	31	13	34	18	28	14	17
34	19	31	13	34	18	28	14	17	23
19	31	13	34	18	28	14	17	23	30
31	13	34	18	28	14	17	23	30	6
13	34	18	28	14	17	23	30	6	29
34	18	28	14	17	23	30	6	29	16
18	28	14	17	23	30	6	29	16	10
28	14	17	23	30	6	29	16	10	23
14	17	23	30	6	29	16	10	23	29
17	23	30	6	29	16	10	23	29	23
23	30	6	29	16	10	23	29	23	11
30	6	29	16	10	23	29	23	11	19
6	29	16	10	23	29	23	11	19	26
29	16	10	23	29	23	11	19	26	27
16	10	23	29	23	11	19	26	27	14
10	23	29	23	11	19	26	27	14	21
23	29	23	11	19	26	27	14	21	31
29	23	11	19	26	27	14	21	31	10
23	11	19	26	27	14	21	31	10	9
11	19	26	27	14	21	31	10	9	18
19	26	27	14	21	31	10	9	18	32
26	27	14	21	31	10	9	18	32	23
27	14	21	31	10	9	18	32	23	10
14	21	31	10	9	18	32	23	10	32
21	31	10	9	18	32	23	10	32	28
31	10	9	18	32	23	10	32	28	12
10	9	18	32	23	10	32	28	12	35
9	18	32	23	10	32	28	12	35	33
18	32	23	10	32	28	12	35	33	17
32	23	10	32	28	12	35	33	17	9
23	10	32	28	12	35	33	17	9	27
10	32	28	12	35	33	17	9	27	22
32	28	12	35	33	17	9	27	22	14
28	12	35	33	17	9	27	22	14	28
12	35	33	17	9	27	22	14	28	25
35	33	17	9	27	22	14	28	25	24
33	17	9	27	22	14	28	25	24	41
17	9	27	22	14	28	25	24	41	13
9	27	22	14	28	25	24	41	13	32
27	22	14	28	25	24	41	13	32	31
22	14	28	25	24	41	13	32	31	22
14	28	25	24	41	13	32	31	22	20
28	25	24	41	13	32	31	22	20	19
25	24	41	13	32	31	22	20	19	30
24	41	13	32	31	22	20	19	30	26
41	13	32	31	22	20	19	30	26	29
13	32	31	22	20	19	30	26	29	28
32	31	22	20	19	30	26	29	28	12
31	22	20	19	30	26	29	28	12	18
22	20	19	30	26	29	28	12	18	26
20	19	30	26	29	28	12	18	26	22
19	30	26	29	28	12	18	26	22	34
30	26	29	28	12	18	26	22	34	21
26	29	28	12	18	26	22	34	21	30
29	28	12	18	26	22	34	21	30	20
28	12	18	26	22	34	21	30	20	43
12	18	26	22	34	21	30	20	43	43
18	26	22	34	21	30	20	43	43	25
26	22	34	21	30	20	43	43	25	32
22	34	21	30	20	43	43	25	32	26
